corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
216,222,he/she is taking it somewhere by hand,ayhek,tsiyek,ayhek,uyhvhs,hiyhuka,uyhvhst
217,223,he/she is holding it in his/her hand,ayheh,tsiyeh,ayheh,ayheh,,
218,224,he/she is quilting it,ayhehkalhvhsk,tsiyehkalhvhsk,ayhehkalhvhsk,uyhehkalhan,hiyhehkalhvka,uyhehkalht
219,225,he/she is making an incision,ayhelhoh,tsiyelhoh,ayhelhoh,uyhelhal,hiyelaka,uyhelhst
220,226,he/she is imitating him/her,ayheli',tsiyeli',ayhelihsk,uyhelihs,hiyela,uyhelihst
222,228,he/she is looking for him/her,ayhoh,tsiyoh,ayhoh,uyhal,hiyhka,uyhst
223,229,he/she is swimming,ayhu'inek,kayu'inek,ayhu'inek,uyhu'invhs,hayhu'inuka,uyhu'invhst
224,230,it’s thundering,ayhvtakwalo',,ayhvtakwalohsk,uyhvtakwalo',,uyhvtakwalohst
228,234,he/she is bending it,ayhvhkwitvhsk,tsiyvhkwitvhsk,ayhvhkwitvhsk,uyhvhkwitvn,hiyhvhkwitv'vka,uyhvhkwitvt
230,236,he/she is kicking him/her,ayhvhthe',tsiyayvhthe',ayhvhthehsk,uyhvhthehs,hiyayhthaki,uyhvhthehst
232,238,he/she is capturing him/her,ayhvkhiti',tsiyvkhiti',ayhvkhitihsk,uyhvkhit,hiyvkhita,uyhvkhitihst
233,239,he/she is hitting him/her on the nose,ayhvhsteluhvhsk,tsiyvhsteluhvhsk,ayhvhsteluhvhsk,uyhvhstelunh,hiyvhsteluhvka,uyhvhsteluht
234,240,he/she is choking him/her,ayhvhskiyih,tsiyvhskiyih,ayhvhskiyihsk,uyhvhskiyvh,hiyvhskiya,uyhvhskiyht
235,241,he/she is walking,a',ka',a'ihs,a'ihs,,
238,244,it’s hatching,atsa'i',katsa'i',atsa'ihsk,utsa'ihs,hatsa'i,utsa'ihst
239,245,he/she is dressing up,atsanvhsk,katsanvhsk,atsanvhsk,utsanvnh,hatsanvna,utsanvht
240,246,he/she is getting in,atsa'vhsk,katsa'vhsk,atsa'vhsk,utsan,hatsa'vka,utsot
242,248,he/she is acting like him/her,atselvhsk,katselvhsk,atselvhsk,utselvnh,hatselvna,utselht
244,250,he/she is spilling it,atsewi',katsewi',atsewihsk,utsew,hatsewa,utsewahst
250,256,it’s blooming,atsilvhsk,,atsilvhsk,utsilvnh,,utsilht
253,259,he/she is lighting a fire,atsihslhvhsk,tsitsihslhvhsk,atsihslhvhsk,utsihslhan,hitsihslhvka,utsihslhvhst
254,260,he/she is blowing,atsothahsk,katsothahsk,atsothahsk,utsothah,hatsotha,utsothahst
255,261,he/she is turning on a light,atsvhsthvhsk,tsitsvhsthvhsk,atsvhsthvhsk,utsvhsthan,hitsvhsthvka,utsvhsthvhst
259,266,he/she is chasing him/her,akhehek,tsikhehek,akhehek,ukhehvhs,hikhehuka,ukhehvhst
261,268,he/she is riding it,akhilvtih,tsiyakhilvtih,akhilvtihsk,ukhilvthan,hiyakhilvta,ukhilvtoht
263,270,he/she is swallowing it,akhihsk,tsi'kihsk,akhihsk,ukhihs,hikhihi,ukhihihst
266,273,he/she is shovelling it,akhote',tsikhote',akhotehsk,ukhotehs,hikhotaki,ukhotehst
270,277,he/she is going down-hill,akhsohsk,tsikahsohsk,akhsohsk,ukhsohs,hikhsohi,ukhsohihst
273,280,he/she knows how,akhthah,tsikathah,akhthah,,,
276,283,he/she is turning back,akhthahv',kakathahv',akhthahvhsk,ukhthahvhs,hakhthahvna,ukhthahvhst
277,284,he/she is winking,akhthahstih,kakathahstih,akhthahstihsk,ukhthahsthan,hakhthahsta,ukhthahstoht
278,285,he/she is hitting him/her on the eye,akhtheluhvhsk,tsikatheluhvhsk,akhtheluhvhsk,ukhthelunh,hikatheluhvka,ukhtheluht
280,287,he/she is looking around,akhthenoh,tsikathenoh,akhthenoh,ukhthenol,hikhthenaka,ukhthenahst
281,288,he/she is peeking through,akhthih,kakathih,akhthihsk,ukhthanh,hakhtha,ukhthoht
283,290,he/she is waiting for him/her,akhthiy,tsikathiy,akhthiy,ukhthit,hikathita,ukhthitihst
286,293,he/she is becoming wise,akhthohvhsk,tsikathohvhsk,akhthohvhsk,ukhthohvhs,hikhtho'vhi,ukhtho'vhihst
288,295,he/she is looking at him/her,akhthohst,tsiyakathohst,akhthohstihsk,ukhthohsthan,hiyakathohsta,ukhthohstoht
290,297,he/she is going through it,akhthvlehsk,tsikathvlehsk,akhthvlehsk,ukhthvlehs,hikhthvlehi,ukhthvlehihst
291,298,he/she is dipping liquid,akhuki',tsi'kuki',akhukihsk,ukhukihs,hikhuki,ukhukihst
293,300,he/she is paying it,akwhiyih,kakwiyih,akwhiyihsk,ukwhiyvh,hakwhiya,ukwhiyht
294,301,he/she is paying him/her,akwhiyv'eh,tsiyakwiyv'eh,akwhiyv'eh,ukwhiyv'el,hiyakwiyvhsi,ukwhiyv'eht
296,303,he/she is tromping on him/her,alahsta'eh,tsiyalahsta'eh,alahsta'ehsk,ulahsta'elh,hiyalahsta'vla,ulahsta'eht
297,304,he/she is stepping on him/her,alahstvhsk,tsiyalahstvhsk,alahstvhsk,ulahstvn,hiyalahstv'vka,ulahstvt
298,305,he/she is playing ball,alahskalih,kalahskalih,alahskalihsk,ulahskalvh,halahskala,ulahskalht
300,307,he/she is taking a step,alahskv',kalahskv',alahskvhsk,ulahskvhs,halahskvna,ulahskvhst
305,312,he/she is placing it in an upright position,alehtih,kaletih,alehtihsk,ulehthan,halehta,ulehtoht
306,313,he/she is standing in a certain spot,alehvhsk,kale'vhsk,alehvhsk,ulenh,halehvka,uleht
307,314,he/she is stopping,alewhihstih,kalewihstih,alewhihstihsk,ulewhihsthan,halewhihsta,ulewhihstoht
308,315,he/she is stopping him/her,alewhihstohtih,tsiyalewihstohtih,alewhihstohtihsk,ulewhihstohthan,hiyalewihstohta,ulewhihstohtoht
309,316,he/she is starting,alenih,kaleni',alenihsk,ulenvh,halena,ulenht
311,318,it’s boiling,alitlih,,alitlihsk,ulitlvh,,ulilht
314,321,he/she is thanking him/her,alihelitsheh,tsiyali'elitsheh,alihelitsheh,ulihelitshel,hiyali'elitshihsi,ulihelitsheht
315,322,he/she is happy,alihelik,kali'elik,alihelik,ulihelits,haliheliki,ulihelihst
317,324,he/she is exchanging it,ali'iti',kali'iti',ali'itihsk,uli'it,hali'ita,uli'itihst
318,325,he/she is running away,alithi',kalithi',alithihsk,ulithihs,halithi,ulithihst
320,327,he/she is taking his/her ring off,aliyehsuhsthki',kaliyehsuhsthki',aliyehsuhsthkihsk,uliyehsuhsthkihs,haliyehsuhsthki,uliyehsuhsthkihst
322,329,he/she is putting a ring on his/her finger,aliyehsuhsthvhsk,kaliyehsuhsthvhsk,aliyehsuhsthvhsk,uliyehsuhsthan,haliyehsuhsthvka,uliyehsuhsthvhst
