corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive
177,he/she is preaching,hvsk-nh[inf2],alhtsato,kalitsato,alhtsato,ulhtsato,halhtsato,ulhtsat
179,it’s shattering,sk-h[imp2],alhkhotv,,alhkhotv,ulhkhotvn,,
179,it’s shattering,vnh-vsk,alhkhot,,alhkhot,ulhkhot,,
179,it’s shattering,aspectless,alhkhotvhsk,,alhkhotvhsk,ulhkhotvnh,,
180,he/she is shattering it,cause,alhkhotht,kalikhotht,alhkhotht,ulhkhotht,halhkhotht,ulhkhotht
180,he/she is shattering it,cause[perf3],alhkhotht,kalikhotht,alhkhotht,ulhkhothth,halhkhotht,ulhkhotht
180,he/she is shattering it,cause[pres2],alhkhothtih,kalikhothtih,alhkhotht,ulhkhotht,halhkhotht,ulhkhotht
180,he/she is shattering it,cause[pres2-perf3],alhkhothtih,kalikhothtih,alhkhotht,ulhkhothth,halhkhotht,ulhkhotht
182,he/she is beating him/her at a game,sk-s-hi-hihst,alho,tsilho,alho,ulho,hilho,ulho
182,he/she is beating him/her at a game,sk-s-hst[imp3],alho,tsilho,alho,ulho,hilho,ulhohi
182,he/she is beating him/her at a game,sk-s-hst,alho,tsilho,alho,ulho,hilhohi,ulhohi
183,he/she is combing his/her hair,glottal-sk,alhthawo,kalithawo,alhthawo,ulhthawo',halhthawots,ulhthawo
183,he/she is combing his/her hair,o,alhthaw,kalithaw,alhthaw,ulhthaw,halhthaw,ulhthaw
185,he/she is moving,hvsk-nh,alhthelv,kalithelv,alhthelv,ulhthelv,halhthelv,ulhthel
185,he/she is moving,hvsk-nh[inf2],alhthelv,kalithelv,alhthelv,ulhthelv,halhthelv,ulhthel
185,he/she is moving,episodic,alhthel,kalithel,alhthel,ulhthel,halhthel,ulhthel
186,he/she is changing his/her shirt,glottal-sk,anhawa'iyv,kaniwa'iyv,anhawa'iyv,unhawa'iyvhs,hanhawa'iyvn,unhawa'iyv
186,he/she is changing his/her shirt,glottal-sk[perf2],anhawa'iyv,kaniwa'iyv,anhawa'iyv,unhawa'iyv,hanhawa'iyvn,unhawa'iyv
186,he/she is changing his/her shirt,v-vhs,anhawa'iy,kaniwa'iy,anhawa'iy,unhawa'iy,hanhawa'iy,unhawa'iy
186,he/she is changing his/her shirt,change-out,anhawa',kaniwa',anhawa',unhawa',hanhawa',unhawa'
186,he/she is changing his/her shirt,change-out-flexible,anhaw,kaniw,anhaw,unhaw,hanhaw,unhaw
187,he/she is taking his/her shirt off,rev-e,anhaw,kaniw,anhaw,unhaw,hanhaw,unhaw
189,he/she is putting on a shirt,glottal-sk,anhawo,kaniwo,anhawo,unhawo',hanhawots,unhawo
189,he/she is putting on a shirt,o,anhaw,kaniw,anhaw,unhaw,hanhaw,unhaw
190,he/she is giving it to him/her,apl,anh,tsin,anh,unh,hi'v,unh
190,he/she is giving it to him/her,apl[imp2],anh,tsin,anh,unh,hi'v,unh
191,he/she is wrestling,hih-lh,anhe,kanhe,anhe,unhe,hanhe,unhe
191,he/she is wrestling,hih-lh[imp2],anhe,kanhe,anhe,unhe,hanhek,unhe
192,he/she is interpreting it,cause,anhelht,kanelht,anhelht,unhelht,hanhelht,unhelht
192,he/she is interpreting it,cause[perf3],anhelht,kanelht,anhelht,unhelhth,hanhelht,unhelht
192,he/she is interpreting it,cause[pres2],anhelhtih,kanelhtih,anhelht,unhelht,hanhelht,unhelht
192,he/she is interpreting it,cause[pres2-perf3],anhelhtih,kanelhtih,anhelht,unhelhth,hanhelht,unhelht
195,he/she is building a house,apl-active,anhehsk,kanehsk,anhehsk,unhehsk,hanhehsk,unhehsk
195,he/she is building a house,apl-active-a,anhehsk,kanehsk,anhehsk,unhehsk,hanhehskvl,unhehske
196,he/she is leaving,rev-gi,anhi,kani,anhi,unhi,hanhi,unhi
196,he/she is leaving,rev-i,anhik,kanik,anhik,unhik,hanhik,unhik
197,he/she is starting it,cause,anhikihst,kanikihst,anhikihst,unhikihst,hanhikihst,unhikihst
197,he/she is starting it,cause[perf3],anhikihst,kanikihst,anhikihst,unhikihsth,hanhikihst,unhikihst
197,he/she is starting it,cause[pres2],anhikihstih,kanikihstih,anhikihst,unhikihst,hanhikihst,unhikihst
197,he/she is starting it,cause[pres2-perf3],anhikihstih,kanikihstih,anhikihst,unhikihsth,hanhikihst,unhikihst
198,he/she is carrying it on his/her shoulder,go,anholhin,kanolhin,anholhin,unholhin,hanholhin,unholhin
198,he/she is carrying it on his/her shoulder,go[pres2],anholhinek,kanolhinek,anholhin,unholhin,hanholhin,unholhin
200,he/she is putting it in liquid,glottal-sk,ahuti,tsi'uti,ahuti,uhut,hihut,uhuti
200,he/she is putting it in liquid,long-no-a,ahu,tsi'u,ahu,uhu,hihu,uhu
204,he/she is hitting him/her on the mouth,ih-l,ahulvn,tsi'ulvn,ahulvn,uhulvn,hi'ulvn,uhulvn
