corpus_id,definition,form,surface_stem,underlying_stem
266,he/she is shovelling it,present_1sg,kho23t-e3',khoote'
266,he/she is shovelling it,imperfective,kho23t-e32hsk,khootee'hsk
266,he/she is shovelling it,imperfective,kho23t-e32hsk,khoote'hsk
266,he/she is shovelling it,perfective,kho23t-e32hs,khootee'hs
266,he/she is shovelling it,perfective,kho23t-e32hs,khoote'hs
266,he/she is shovelling it,imperative,kho22t-a2ki2,khootaki
266,he/she is shovelling it,infinitive,kho23t-e32hst,khootee'hst
266,he/she is shovelling it,infinitive,kho23t-e32hst,khoote'hst
270,he/she is going down-hill,present,khso3-hsk,khsoh'sk
270,he/she is going down-hill,present_1sg,ka21hso3-hsk,kaahsohsk
270,he/she is going down-hill,imperfective,khso3-hsk,khsoh'sk
270,he/she is going down-hill,perfective,khso3-hs,khsoh's
270,he/she is going down-hill,imperative,khso21-hi2,khsoohi
270,he/she is going down-hill,infinitive,khso21-hi2hst,khsoohihst
273,he/she knows how,present,khtha2-h,khthah
273,he/she knows how,present_1sg,ka21tha2-h,kaathah
273,he/she knows how,imperfective,khtha2-h,khthah
278,he/she is hitting him/her on the eye,present,khthe22lu22-hv3hsk,khtheeluuhvhsk
278,he/she is hitting him/her on the eye,present_1sg,ka21the22lu22-hv3hsk,kaatheeluuhvhsk
278,he/she is hitting him/her on the eye,imperfective,khthe22lu22-hv2hsk,khtheeluuhvhsk
278,he/she is hitting him/her on the eye,perfective,khthe22lu22-nh,khtheeluunh
278,he/she is hitting him/her on the eye,imperative,ka21the22lu22-hv21ka2,kaatheeluuhvvka
278,he/she is hitting him/her on the eye,infinitive,khthe22lu2-ht,khtheeluht
280,he/she is looking around,present,khthe33n-o2h,khthee'noh
280,he/she is looking around,present,khthe33n-o2h,khtheen'oh
280,he/she is looking around,present_1sg,ka21the33n-o2h,kaatheen'oh
280,he/she is looking around,imperfective,khthe33n-o2h,khthee'noh
280,he/she is looking around,imperfective,khthe33n-o2h,khtheen'oh
280,he/she is looking around,perfective,khthe23n-o32l,khtheenoo'l
280,he/she is looking around,perfective,khthe23n-o32l,khtheeno'l
280,he/she is looking around,imperative,khthe22n-a2ka2,khtheenaka
280,he/she is looking around,infinitive,khthe23n-a32hst,khtheenaa'hst
280,he/she is looking around,infinitive,khthe23n-a32hst,khtheena'hst
290,he/she is going through it,present,khthv33le22-hsk,khthvv'leehsk
290,he/she is going through it,present,khthv33le22-hsk,khthvvl'eehsk
290,he/she is going through it,present_1sg,ka21thv33le22-hsk,kaathvvl'eehsk
290,he/she is going through it,imperfective,khthv33le22-hsk,khthvv'leehsk
290,he/she is going through it,imperfective,khthv33le22-hsk,khthvvl'eehsk
290,he/she is going through it,perfective,khthv33le22-hs,khthvv'leehs
290,he/she is going through it,perfective,khthv33le22-hs,khthvvl'eehs
290,he/she is going through it,imperative,khthv22le23-hi2,khthvvleehi
290,he/she is going through it,infinitive,khthv22le23-hi3hst,khthvvleehih'st
291,he/she is dipping liquid,present,khu23-ki3',khuukii'
291,he/she is dipping liquid,present,khu23-ki3',khuuki'
291,he/she is dipping liquid,present_1sg,'ku23-ki3','kuukii'
