corpus_id,definition,class,prediction
297,he/she is stepping on him/her,vsk,FullEventful
297,he/she is stepping on him/her,vsk[imp2],FullEventful
298,he/she is playing ball,ih-vh,FullEventful
300,he/she is taking a step,v-vhs,FullEventful
305,he/she is placing it in an upright position (refers to a long object),ih-ohd,FullEventful
305,he/she is placing it in an upright position (refers to a long object),ih-ohd[perf3],FullEventful
305,he/she is placing it in an upright position (refers to a long object),ih-ohd[pres2],FullEventful
305,he/she is placing it in an upright position (refers to a long object),ih-ohd[pres2-perf3],FullEventful
306,he/she is standing in a certain spot,hvsg-hn,FullEventful
306,he/she is standing in a certain spot,hvsg-hn[inf2],FullEventful
307,he/she is stopping,ih-ohd,FullEventful
307,he/she is stopping,ih-ohd[perf3],FullEventful
307,he/she is stopping,ih-ohd[pres2],FullEventful
307,he/she is stopping,ih-ohd[pres2-perf3],FullEventful
308,he/she is stopping him/her,ih-ohd,FullEventful
308,he/she is stopping him/her,ih-ohd[perf3],FullEventful
308,he/she is stopping him/her,ih-ohd[pres2],FullEventful
308,he/she is stopping him/her,ih-ohd[pres2-perf3],FullEventful
309,he/she is starting,ih-vh,FullEventful
311,it’s boiling,ih-vh,FullEventful
311,it’s boiling,stative,FullStative
311,it’s boiling,hvsg-han,InfEventful
311,it’s boiling,hvsg-hn[inf2],InfEventful
311,it’s boiling,vhvsg,InfEventful
311,it’s boiling,eh-a,InfEventful
311,it’s boiling,ih-vh,InfEventful
311,it’s boiling,vnh-ih-a,InfEventful
314,he/she is thanking him/her,eh-el,FullEventful
314,he/she is thanking him/her,eh-el[imp2],FullEventful
314,he/she is thanking him/her,eh-el[imp3],FullEventful
315,he/she is happy,g-ts,FullEventful
317,he/she is exchanging it,i-a-i,FullEventful
318,he/she is running away,rev-i,FullEventful
320,he/she is taking his/her ring off,rev-gi,FullEventful
320,he/she is taking his/her ring off,rev-i,FullEventful
322,he/she is putting a ring on his/her finger,hvsg-han[inf2],FullEventful
324,he/she is spitting,sg-h,FullEventful
324,he/she is spitting,sg-h[imp2],FullEventful
325,he/she is ascending,i-vka,FullEventful
327,he/she is eating a meal,hvsg-hn[inf2],FullEventful
327,he/she is eating a meal,vhvsg,FullEventful
329,he/she is helping,ih-vh,FullEventful
330,he/she is taking off his/her cap,rev-e,FullEventful
331,he/she is washing his/her hair,eh-a,FullEventful
332,he/she is putting on a cap,i-vka,FullEventful
334,he/she is taking a seat,husg,FullEventful
336,he/she is dancing,rev-gi,FullEventful
336,he/she is dancing,rev-i,FullEventful
337,he/she is permitting him/her,eh-el,FullEventful
337,he/she is permitting him/her,eh-el[imp2],FullEventful
338,he/she is nodding his/her head,sg-h,FullEventful
338,he/she is nodding his/her head,sg-h-hy,FullEventful
338,he/she is nodding his/her head,sg-h[imp2],FullEventful
339,it’s ending,i-a-i,FullEventful
339,it’s ending,stative,FullStative
339,it’s ending,g-ts,InfEventful
339,it’s ending,sg-s-hst,InfEventful
339,it’s ending,sg-h,InfEventful
339,it’s ending,ih-il,InfEventful
339,it’s ending,hih-lh,InfEventful
339,it’s ending,i-a-i,InfEventful
339,it’s ending,oh-al,InfEventful
339,it’s ending,rev-i,InfEventful
340,he/she is sticking his/her head out,i-vka,FullEventful
341,he/she is taking his/her hat off,rev-gi,FullEventful
341,he/she is taking his/her hat off,rev-i,FullEventful
342,he/she is putting his/her hat on,sg-h,FullEventful
342,he/she is putting his/her hat on,sg-h[imp2],FullEventful
344,he/she is setting a goal,ih-ohd,FullEventful
344,he/she is setting a goal,ih-ohd[perf3],FullEventful
344,he/she is setting a goal,ih-ohd[pres2],FullEventful
344,he/she is setting a goal,ih-ohd[pres2-perf3],FullEventful
345,he/she is smelling it (refers to sniffing),ih-ohd,FullEventful
345,he/she is smelling it (refers to sniffing),ih-ohd[perf3],FullEventful
345,he/she is smelling it (refers to sniffing),ih-ohd[pres2],FullEventful
345,he/she is smelling it (refers to sniffing),ih-ohd[pres2-perf3],FullEventful
355,they are gathering,ih-ohd[perf2],FullEventful
355,they are gathering,ih-ohd[pres2-perf2],FullEventful
356,it’s lightning,ih-vh,FullEventful
356,it’s lightning,stative,FullStative
359,they are getting together,hvsg-hn[inf2],FullEventful
361,he/she is attempting it,ih-ohd,FullEventful
361,he/she is attempting it,ih-ohd[perf3],FullEventful
361,he/she is attempting it,ih-ohd[pres2],FullEventful
361,he/she is attempting it,ih-ohd[pres2-perf3],FullEventful
362,he is getting married,i-a-i,FullEventful
363,he/she is remembering him/her,i-a-i,FullEventful
365,they are standing (refers to a congregation),stative-a',FullStative
365,they are standing (refers to a congregation),stative,FullStative
366,they are asleep (refers to more than two),stative,FullStative
367,they are sitting (refers to a congregation),stative,FullStative
373,he/she is setting a trap,vsk,FullEventful
373,he/she is setting a trap,vsk[imp2],FullEventful
374,he/she is lifting him/her,i-vka,FullEventful
377,he/she is making it crisp,ih-ohd,FullEventful
377,he/she is making it crisp,ih-ohd[perf3],FullEventful
377,he/she is making it crisp,ih-ohd[pres2],FullEventful
377,he/she is making it crisp,ih-ohd[pres2-perf3],FullEventful
378,it’s becoming crisp,hih-lh,FullEventful
378,it’s becoming crisp,stative-h,FullStative
378,it’s becoming crisp,stative,FullStative
380,he/she is drawing a line,hvsg-han,FullEventful
381,he/she is following him/her,eg-vs,FullEventful
381,he/she is following him/her,eg-vs[pres2],FullEventful
382,he/she is helping him/her,ih-vh,FullEventful
383,he/she is braiding it,oh-ol,FullEventful
384,he/she is eating it (refers to a long object),i-a-i,FullEventful
