corpus_id,definition,verb_root,base_root_h,base_root_g,proposed_root_id,user_approved
582,he/she is putting on shoes,alahsul|alahsul,alahsul,alahsul,alahsul|alahsul,
583,he/she is changing shoes,alahsul|alahsul,alahsul,alahsul,alahsul|alahsul,
584,he/she is taking off his/her shoes,alahsul|alahsul,alahsul,alahsul,alahsul|alahsul,
585,he/she is helping him/her up,aleht|alet,ale,ale,ale|ale,
586,he/she is recuperating,alehihs|ale'ihs,alehihs,ale'ihs,alehihs|ale'ihs,
587,he/she is getting up,ale|ale,ale,ale,ale|ale,
589,he/she is taking off his/her gloves,yehsul|yehsul,yehsul,yehsul,yehsul|yehsul,
590,he/she is putting on his/her gloves,yehsul|yehsul,yehsul,yehsul,yehsul|yehsul,
591,he/she is taking off his/her socks,yo|yo,yo,yo,yo|yo,
592,he/she is putting on his/her socks,yo|yo,yo,yo,yo|yo,
593,he/she is changing his/her socks,yohs|yohs,yohs,yohs,yohs|yohs,
594,he/she is aiming at him/her,hsohst|hsohst,hsohst,hsohst,hsohst|hsohst,
599,he/she is playing with him/her,anelht|anelht,anelht,anelht,anelht|anelht,
600,he/she is playing,anelo|anelo,anelo,anelo,anelo|anelo,
604,he/she is shooting at him/her,hstayo|hstayo,hstayo,hstayo,hstayo|hstayo,
605,he/she is splitting it,hstlu|hstlu,hstlu,hstlu,hstlu|hstlu,
606,he/she is sprinkling it,hstutl|hstutl,hstutl,hstutl,hstutl|hstutl,
607,he/she is counting it,ahse|ahse,ahse,ahse,ahse|ahse,
608,he/she is cursing him/her,hskinat|hskinat,hskinat,hskinat,hskinat|hskinat,
609,he/she is clapping his/her hands,ahsihth|ahsihth,ahsihth,ahsihth,ahsihth|ahsihth,
610,he/she is getting exhausted,ahsthaye|ahsthaye,ahsthaye,ahsthaye,ahsthaye|ahsthaye,
611,it’s barking,ahsuwh|ahsuwh,ahsuwh,ahsuwh,ahsuwh|ahsuwh,
612,he/she is scheduling a time,hsvhst|hsvhst,hsvhst,hsvhst,hsvhst|hsvhst,
618,he/she is releasing him/her,yo|yo,yo,yo,yo|yo,
620,he/she is slamming him/her,lvtvnihst|lvtvnihst,lvtvnihst,lvtvnihst,lvtvnihst|lvtvnihst,
621,he/she is crossing,natiw|natiw,natiw,natiw,natiw|natiw,
622,he/she is advertising it,notsal|notsal,notsal,notsal,notsal|notsal,
623,he/she is crossing it,hsoh|hsoh,hsoh,hsoh,hsoh|hsoh,
625,he/she is explaining it,ohsihs|ohsihs,ohsihs,ohsihs,ohsihs|ohsihs,
626,he/she is deciding,ukht|ukot,ukht,ukot,ukht|ukot,
627,he/she is washing,vtiy|vtiy,vtiy,vtiy,vtiy|vtiy,
628,he/she is shelling,vthoh|vthoh,vthoh,vthoh,vthoh|vthoh,
630,he/she is turning him/her over,lhihkwat|lihkwat,lhihkwat,lihkwat,lhihkwat|lihkwat,
631,he/she is singing,nho|no,nho,no,nho|no,
632,he/she is clawing him/her,nhuko|nuko,nhuko,nuko,nhuko|nuko,
633,to come out of the nose,yhvhsko'|,yhvhsko',,yhvhsko'|,
722,he/she is confronted with it,lo|lo,lo,lo,lo|lo,
724,he/she is staggering,okht|,okht,,okht|,
725,he/she is getting a rash,kwenothi|,kwenothi,,kwenothi|,
726,he/she has horns,lh|'l,lh,'l,lh|'l,
727,he/she is sneezing,yhvhstoy|,yhvhstoy,,yhvhstoy|,
728,he/she is vomiting,khst|,khst,,khst|,
729,he/she is wearing glasses,akhthinvt|akathinvt,akhthinvt,akathinvt,akhthinvt|akathinvt,
730,he/she is wearing shoes,alahsul|alahsul,alahsul,alahsul,alahsul|alahsul,
733,he/she is wearing socks,yo|yo,yo,yo,yo|yo,
735,he/she is working,lvwhihstan|,lvwhihstan,,lvwhihstan|,
738,he/she is releasing it,ahskalehst|,ahskalehst,,ahskalehst|,
739,he/she is tired,yawe|,yawe,,yawe|,
740,he/she is releasing it,yo|yo,yo,yo,yo|yo,
742,he/she is walking around,et|et,et,et,et|et,
746,he/she lives,e|e,e,e,e|e,
752,he/she thinks so,el|el,el,el,el|el,
757,he/she is straightening it,tshinohs|tshinohs,tshinohs,tshinohs,tshinohs|tshinohs,
759,it is hanging,|,,,|,
764,he/she is plowing it,taluk|taluk,taluk,taluk,taluk|taluk,
766,he/she is removing it from a hanging position,|,,,|,
767,he/she is turning it,teyhst|teyahst,teyhst,teyahst,teyhst|teyahst,
769,he/she is spinning it,tikwalvteyhst|tikwalvteyhst,tikwalvteyhst,tikwalvteyhst,tikwalvteyhst|tikwalvteyhst,
770,he/she is strapping it,tlo|tlo,tlo,tlo,tlo|tlo,
772,he/she is standing,to|to,to,to,to|to,
775,he/she is pitying him/her,toli|toli,toli,toli,toli|toli,
776,he/she is dropping him/her,onht|onht,onht,onht,onht|onht,
777,it is falling from a hanging position,o|o,o,o,o|o,
784,he/she is baking it,tu|tu,tu,tu,tu|tu,
791,he/she is rowing,kawe|kawe,kawe,kawe,kawe|kawe,
796,he/she is pecking it,kwayo|kwayo,kwayo,kwayo,kwayo|kwayo,
798,he/she is putting it into a container,lht|lot,l,l,l|l,
804,he/she is gathering it,lhihs|lhihs,lhihs,lhihs,lhihs|lhihs,
809,he/she is piling it up,l|l,l,l,l|l,
811,he/she is putting it in a hole or a container,l|l,l,l,l|l,
812,he/she is sleepy,lh|'l,lh,'l,lh|'l,
813,he/she is taking it somewhere by hand,nh|'n,nh,'n,nh|'n,
815,he/she is handling it,nh|'n,nh,'n,nh|'n,
818,he/she is eating it,yh|y,yh,y,yh|y,
820,he/she is ripping it,tsakal|tsakal,tsakal,tsakal,tsakal|tsakal,
