corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive,consensus_root,metathesis_involved,set_a_b,stem_type,metathesis_strategy,ka_variant,long_start,aki_1st,uwa_v,3rd_person_object,translocutive,translocutive_imp_only,partitive,distributive,distributive_fut_prog
94,it’s pouring into a container,become,atli,,atli,atli,,atliy,atli,False,a,vowel_a,none,False,False,False,False,False,False,True,False,False,False
94,it’s pouring into a container,become,tli,,tli,tli,,tliy,tli,False,a,con,none,False,False,False,False,True,False,False,False,False,False
94,it’s pouring into a container,become,atli,,atli,atli,,atliy,atli,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
94,it’s pouring into a container,become,tli,,tli,tli,,tliy,tli,False,a,con,none,False,False,False,False,True,False,True,False,False,False
94,it’s pouring into a container,become,atli,,atli,atli,,atliy,atli,False,a,vowel_a,none,False,False,False,False,True,False,True,False,False,False
94,it’s pouring into a container,become[inf3],tli,,tli,tli,,tli,tli,False,a,con,none,False,False,False,False,False,False,False,False,False,False
94,it’s pouring into a container,become[inf3],atli,,atli,atli,,atli,atli,False,a,vowel_a,none,False,False,False,False,False,False,False,False,False,False
94,it’s pouring into a container,become[inf3],tli,,tli,tli,,tli,tli,False,a,con,none,False,False,False,False,False,False,True,False,False,False
94,it’s pouring into a container,become[inf3],atli,,atli,atli,,atli,atli,False,a,vowel_a,none,False,False,False,False,False,False,True,False,False,False
94,it’s pouring into a container,become[inf3],tli,,tli,tli,,tli,tli,False,a,con,none,False,False,False,False,True,False,False,False,False,False
94,it’s pouring into a container,become[inf3],atli,,atli,atli,,atli,atli,False,a,vowel_a,none,False,False,False,False,True,False,False,False,False,False
94,it’s pouring into a container,become[inf3],tli,,tli,tli,,tli,tli,False,a,con,none,False,False,False,False,True,False,True,False,False,False
94,it’s pouring into a container,become[inf3],atli,,atli,atli,,atli,atli,False,a,vowel_a,none,False,False,False,False,True,False,True,False,False,False
95,he/she is drawing a liquid out of a container,ih-vh,tl,tl,tl,tl,tl,tlv,tl,False,a,con,none,False,False,False,False,False,False,False,False,False,False
95,he/she is drawing a liquid out of a container,ih-vh,tl,tl,tl,tl,tl,tlv,tl,False,a,con,none,False,False,False,False,True,False,False,False,False,False
95,he/she is drawing a liquid out of a container,ih-vh[inf2],tl,tl,tl,tl,tl,tl,tl,False,a,con,none,False,False,False,False,False,False,False,False,False,False
95,he/she is drawing a liquid out of a container,ih-vh[inf2],tl,tl,tl,tl,tl,tl,tl,False,a,con,none,False,False,False,False,True,False,False,False,False,False
96,he/she is pouring a liquid into a container,cause,tlihst,tlihst,tlihst,tlihst,tlihst,tlihst,tlihst,False,a,con,none,False,False,False,False,False,False,False,False,False,False
96,he/she is pouring a liquid into a container,cause,tlihst,tlihst,tlihst,tlihst,tlihst,tlihst,tlihst,False,a,con,none,False,False,False,False,True,False,False,False,False,False
96,he/she is pouring a liquid into a container,cause[perf3],tlihst,tlihst,tlihst,tlihsth,tlihst,tlihst,tlihst,False,a,con,none,False,False,False,False,False,False,False,False,False,False
96,he/she is pouring a liquid into a container,cause[perf3],tlihst,tlihst,tlihst,tlihsth,tlihst,tlihst,tlihst,False,a,con,none,False,False,False,False,True,False,False,False,False,False
96,he/she is pouring a liquid into a container,cause[pres2],tlihstih,tlihstih,tlihst,tlihst,tlihst,tlihst,tlihstih,False,a,con,none,False,False,False,False,False,False,False,False,False,False
96,he/she is pouring a liquid into a container,cause[pres2],tlihstih,tlihstih,tlihst,tlihst,tlihst,tlihst,tlihstih,False,a,con,none,False,False,False,False,True,False,False,False,False,False
