corpus_id,form_name,surface,segmented
133,present,akihsto'a,a-kihst-o'-a
133,present_1sg,tsikihsto'a,tsi-kihst-o'-a
135,imperative,hiyakohvhsta,hiy-akohvhst-a
135,imperfective,akohvhstihsko'i,a->akohvhst-ihsk-o'i
135,infinitive,ukohvhstohti,u->akohvhst-oht-i
135,perfective,ukohvhsthanv'i,u->akohvhst-han-v'i
135,present,akohvhstiha,a->akohvhst-ih-a
135,present_1sg,tsiyakohvhstiha,tsiy-akohvhst-ih-a
136,imperative,hakonha,h-ak-onha
136,imperfective,akohvhsko'i,a->ak-ohvhsk-o'i
136,infinitive,ukohvhsti,u->ak-ohvhst-i
136,perfective,ukonhv'i,u->ak-onh-v'i
136,present,akohvhska,a->ak-ohvhsk-a
136,present_1sg,kakohvhska,k-ak-ohvhsk-a
138,imperative,hikoliya,hi-koliy-a
138,imperfective,akoliyehsko'i,a-koliy-ehsk-o'i
138,infinitive,ukoliyeti,u-koliy-et-i
138,perfective,ukoliye'v'i,u-koliy-e'-v'i
138,present,akoliye'a,a-koliy-e'-a
138,present_1sg,tsikoliye'a,tsi-koliy-e'-a
140,imperative,hakona,h-akon-a
140,imperfective,akonihsko'i,a->akon-ihsk-o'i
140,infinitive,ukonhti,u->akon-ht-i
140,perfective,ukonvhv'i,u->akon-vh-v'i
140,present,akoniha,a->akon-ih-a
140,present_1sg,kakoniha,k-akon-ih-a
145,imperative,hikowhthvhta,hi-kowhthvht-a
145,imperfective,akowhthvhtihsko'i,a-kowhthvht-ihsk-o'i
145,infinitive,ukowhthvhtohti,u-kowhthvht-oht-i
145,perfective,ukowhthvhthanv'i,u-kowhthvht-han-v'i
145,present,akowhthvhtiha,a-kowhthvht-ih-a
145,present_1sg,tsikowhthvhtiha,tsi-kowhthvht-ih-a
148,imperative,hikvhala,hi-kvhal-a
148,imperfective,akvhalihsko'i,a-kvhal-ihsk-o'i
148,infinitive,ukvhalhti,u-kvhal-ht-i
148,perfective,ukvhalvhv'i,u-kvhal-vh-v'i
148,present,akvhaliha,a-kvhal-ih-a
