corpus_id,original_word,stem,structure,aspect,person,number,pronominal_set
44,atonihski,tonihsk,nominal,imperfective,3rd,singular,a
44,atonihski,:tonihsk,nominal,imperfective,3rd,singular,a
44,atonihski,atonihsk,nominal,imperfective,3rd,singular,a
44,atonihski,atonihski,nominal,,,,
44,atonihski,tonihski,nominal,,3rd,singular,a
44,atonihski,:tonihski,nominal,,3rd,singular,a
44,atonihski,atonihski,nominal,,3rd,singular,a
45,atutalehsti,atutalehst,nominal,imperfective,,,
45,atutalehsti,tutalehst,nominal,imperfective,3rd,singular,a
45,atutalehsti,:tutalehst,nominal,imperfective,3rd,singular,a
45,atutalehsti,atutalehst,nominal,imperfective,3rd,singular,a
45,atutalehsti,atutalehsti,nominal,,,,
45,atutalehsti,tutalehsti,nominal,,3rd,singular,a
45,atutalehsti,:tutalehsti,nominal,,3rd,singular,a
45,atutalehsti,atutalehsti,nominal,,3rd,singular,a
46,Atvtsi,Atvts,nominal,imperfective,,,
46,Atvtsi,Atvtsi,nominal,,,,
47,atvnelihski,atvnelihsk,nominal,imperfective,,,
47,atvnelihski,tvnelihsk,nominal,imperfective,3rd,singular,a
47,atvnelihski,:tvnelihsk,nominal,imperfective,3rd,singular,a
47,atvnelihski,atvnelihsk,nominal,imperfective,3rd,singular,a
47,atvnelihski,atvnelihski,nominal,,,,
47,atvnelihski,tvnelihski,nominal,,3rd,singular,a
47,atvnelihski,:tvnelihski,nominal,,3rd,singular,a
47,atvnelihski,atvnelihski,nominal,,3rd,singular,a
48,akaluka,akaluka,nominal,,,,
48,akaluka,kaluka,nominal,,3rd,singular,a
48,akaluka,:kaluka,nominal,,3rd,singular,a
48,akaluka,akaluka,nominal,,3rd,singular,a
49,aka'nakhthi,aka'nakhth,nominal,imperfective,,,
49,aka'nakhthi,ka'nakhth,nominal,imperfective,3rd,singular,a
49,aka'nakhthi,:ka'nakhth,nominal,imperfective,3rd,singular,a
49,aka'nakhthi,aka'nakhth,nominal,imperfective,3rd,singular,a
49,aka'nakhthi,aka'nakhthi,nominal,,,,
49,aka'nakhthi,ka'nakhthi,nominal,,3rd,singular,a
49,aka'nakhthi,:ka'nakhthi,nominal,,3rd,singular,a
49,aka'nakhthi,aka'nakhthi,nominal,,3rd,singular,a
50,akayaluti,akayalut,nominal,imperfective,,,
50,akayaluti,kayalut,nominal,imperfective,3rd,singular,a
50,akayaluti,:kayalut,nominal,imperfective,3rd,singular,a
50,akayaluti,akayalut,nominal,imperfective,3rd,singular,a
50,akayaluti,akayaluti,nominal,,,,
50,akayaluti,kayaluti,nominal,,3rd,singular,a
50,akayaluti,:kayaluti,nominal,,3rd,singular,a
50,akayaluti,akayaluti,nominal,,3rd,singular,a
51,akayvlike'i,akayvlike',nominal,imperfective,,,
51,akayvlike'i,kayvlike',nominal,imperfective,3rd,singular,a
51,akayvlike'i,:kayvlike',nominal,imperfective,3rd,singular,a
51,akayvlike'i,akayvlike',nominal,imperfective,3rd,singular,a
51,akayvlike'i,akayvlike'i,nominal,,,,
51,akayvlike'i,kayvlike'i,nominal,,3rd,singular,a
51,akayvlike'i,:kayvlike'i,nominal,,3rd,singular,a
51,akayvlike'i,akayvlike'i,nominal,,3rd,singular,a
52,akeyha,akeyha,nominal,,,,
52,akeyha,keyha,nominal,,3rd,singular,a
52,akeyha,:keyha,nominal,,3rd,singular,a
52,akeyha,akeyha,nominal,,3rd,singular,a
53,akeyhutsa,akeyhutsa,nominal,,,,
53,akeyhutsa,keyhutsa,nominal,,3rd,singular,a
53,akeyhutsa,:keyhutsa,nominal,,3rd,singular,a
53,akeyhutsa,akeyhutsa,nominal,,3rd,singular,a
54,akilhiyi,akilhiy,nominal,imperfective,,,
54,akilhiyi,kilhiy,nominal,imperfective,3rd,singular,a
54,akilhiyi,:kilhiy,nominal,imperfective,3rd,singular,a
54,akilhiyi,akilhiy,nominal,imperfective,3rd,singular,a
54,akilhiyi,akilhiyi,nominal,,,,
54,akilhiyi,kilhiyi,nominal,,3rd,singular,a
54,akilhiyi,:kilhiyi,nominal,,3rd,singular,a
54,akilhiyi,akilhiyi,nominal,,3rd,singular,a
55,akina,akina,nominal,,,,
55,akina,kina,nominal,,3rd,singular,a
55,akina,:kina,nominal,,3rd,singular,a
55,akina,akina,nominal,,3rd,singular,a
56,akihsti,akihst,nominal,imperfective,,,
56,akihsti,kihst,nominal,imperfective,3rd,singular,a
56,akihsti,:kihst,nominal,imperfective,3rd,singular,a
56,akihsti,akihst,nominal,imperfective,3rd,singular,a
56,akihsti,akihsti,nominal,,,,
56,akihsti,kihsti,nominal,,3rd,singular,a
56,akihsti,:kihsti,nominal,,3rd,singular,a
56,akihsti,akihsti,nominal,,3rd,singular,a
57,akihsi,akihs,nominal,imperfective,,,
57,akihsi,kihs,nominal,imperfective,3rd,singular,a
57,akihsi,:kihs,nominal,imperfective,3rd,singular,a
57,akihsi,akihs,nominal,imperfective,3rd,singular,a
57,akihsi,akihsi,nominal,,,,
57,akihsi,kihsi,nominal,,3rd,singular,a
57,akihsi,:kihsi,nominal,,3rd,singular,a
57,akihsi,akihsi,nominal,,3rd,singular,a
58,akola,akola,nominal,,,,
58,akola,kola,nominal,,3rd,singular,a
58,akola,:kola,nominal,,3rd,singular,a
58,akola,akola,nominal,,3rd,singular,a
59,akona,akona,nominal,,,,
59,akona,kona,nominal,,3rd,singular,a
59,akona,:kona,nominal,,3rd,singular,a
59,akona,akona,nominal,,3rd,singular,a
60,akohstakihsti,akohstakihst,nominal,imperfective,,,
60,akohstakihsti,kohstakihst,nominal,imperfective,3rd,singular,a
60,akohstakihsti,:kohstakihst,nominal,imperfective,3rd,singular,a
60,akohstakihsti,akohstakihst,nominal,imperfective,3rd,singular,a
60,akohstakihsti,akohstakihsti,nominal,,,,
60,akohstakihsti,kohstakihsti,nominal,,3rd,singular,a
60,akohstakihsti,:kohstakihsti,nominal,,3rd,singular,a
60,akohstakihsti,akohstakihsti,nominal,,3rd,singular,a
61,akowhthvhti,akowhthvht,nominal,imperfective,,,
61,akowhthvhti,kowhthvht,nominal,imperfective,3rd,singular,a
