corpus_id,entry_no,user_selected,definition,stative,class,post_root_morpheme,h_grade,g_grade,metathesis_involved,set_a_b,stem_type,metathesis_strategy,middle_voice,plural,ka_variant,long_start,aki_1st,uwa_v,3rd_person_object,translocutive,translocutive_imp_only,partitive,distributive,distributive_fut_prog
88,92,,he/she is taking revenge against him/her,False,apl[imp3],,letsh,letsh,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,tli,,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,atli,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,li,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,tli,,False,a,con,none,none,False,False,False,False,False,False,False,True,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,atli,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,True,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,li,,False,a,vowel_a,none,at,False,False,False,False,False,False,False,True,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,tli,,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,atli,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,li,,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,tli,,False,a,con,none,none,False,False,False,False,False,True,False,True,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,atli,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,True,False,False,
94,98,,it’s pouring into a container,False,become[inf3],,li,,False,a,vowel_a,none,at,False,False,False,False,False,True,False,True,False,False,
95,99,,he/she is drawing a liquid out of a container,False,ih-vh[inf2],,tl,tl,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
95,99,,he/she is drawing a liquid out of a container,False,ih-vh[inf2],,tl,tl,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
96,100,,he/she is pouring a liquid into a container,False,cause,,tlihst,tlihst,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
96,100,,he/she is pouring a liquid into a container,False,cause,,tlihst,tlihst,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
98,102,,he/she is crying,False,hih-hil,,atloy,atloy,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
98,102,,he/she is crying,False,hih-hil,,loy,loy,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
101,105,,he/she is catching up with him/her,False,sk-h[imp2],,atlvtha,atlvtha,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
101,105,,he/she is catching up with him/her,False,sk-h[imp2],,lvtha,lvtha,False,a,vowel_a,none,at,False,False,False,False,False,True,False,False,False,False,
107,111,,he/she is acting silly,False,vnh-ih-a,,atvnel,atvnel,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
107,111,,he/she is acting silly,False,vnh-ih-a,,vnel,vnel,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
109,113,,he/she is preparing it,False,cause,,atvnv'ihst,atvnv'ihst,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
109,113,,he/she is preparing it,False,cause,,vnv'ihst,vnv'ihst,False,a,vowel_a,none,at,False,False,False,False,False,False,False,False,False,False,
112,116,,it is shining,False,ih-ihi,,kal,,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
112,116,,it is shining,False,ih-ihi,,akal,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,False,False,False,
112,116,,it is shining,False,ih-ihi,,kal,,False,a,con,none,none,False,False,False,False,False,False,False,True,False,False,
112,116,,it is shining,False,ih-ihi,,akal,,False,a,vowel_a,none,none,False,False,False,False,False,False,False,True,False,False,
112,116,,it is shining,False,ih-ihi,,kal,,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
112,116,,it is shining,False,ih-ihi,,akal,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,False,False,False,
112,116,,it is shining,False,ih-ihi,,kal,,False,a,con,none,none,False,False,False,False,False,True,False,True,False,False,
112,116,,it is shining,False,ih-ihi,,akal,,False,a,vowel_a,none,none,False,False,False,False,False,True,False,True,False,False,
115,119,,he/she is licking it,False,i-a-i,,kanat,kanat,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
115,119,,he/she is licking it,False,i-a-i,long[no-a],kana,kana,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
115,119,,he/she is licking it,False,i-a-i,long,kan,kan,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
115,119,,he/she is licking it,False,i-a-i,,kanat,kanat,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
115,119,,he/she is licking it,False,i-a-i,long[no-a],kana,kana,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
115,119,,he/she is licking it,False,i-a-i,long,kan,kan,False,a,con,none,none,False,False,False,False,False,True,False,False,False,False,
117,121,,he/she is warming it,False,cause,,kanawht,kanawot,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
118,122,,it’s getting warm,False,sk-s-hi-hihst,,kanawo,,False,a,con,none,none,False,False,False,False,False,False,False,False,False,False,
