corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
363,370,he/she is remembering him/her,FullEventful,anhtati',tsiyanvtati',anhtatihsk,unhtat,hiyanvtata,unhtatihst
365,372,they are standing (refers to a congregation),FullEventful,anitona',otsitona',anitona',anitona',,
366,373,they are asleep (refers to more than two),FullEventful,anilhin,otsilhin,anilhin,,,
367,374,they are sitting (refers to a congregation),FullEventful,ani'n,otsi'n,ani'n,ani'n,,
373,380,he/she is setting a trap,FullEventful,ahsatvhsk,tsihsatvhsk,ahsatvhsk,uhsatvn,hihsatv'vka,uhsatvt
374,381,he/she is lifting him/her,FullEventful,ahsalati',tsihsalati',ahsalatihsk,uhsalatan,hihsalatvka,uhsalatot
377,384,he/she is making it crisp,FullEventful,ahstakayhtih,tsihstakayhtih,ahstakayhtihsk,uhstakayhthan,hihstakayhta,uhstakayhtoht
378,385,it’s becoming crisp,FullEventful,ahstakayvhih,,ahstakayvhih,uhstakayvlh,,
380,387,he/she is drawing a line,FullEventful,ahstanvnhvhsk,tsihstanvnhvhsk,ahstanvnhvhsk,uhstanvnhan,hihstanvnhvka,uhstanvnht
381,388,he/she is following him/her,FullEventful,ahstawatek,tsihstawatek,ahstawatek,uhstawatvhs,hihstawatuka,uhstawatvhst
382,389,he/she is helping him/her,FullEventful,ahstelih,tsihstelih,ahstelihsk,uhstelvh,hihstela,uhstelht
