corpus_id,entry_no,definition,singular,plural,animate
322,829,container,kalhtohti,tikalhtohti,
323,832,arrow,kalhita,tikalhita,
324,835,bow,kalhtsa'ti,tikalhtsa'ti,
325,836,house,kalhtsote,,
326,837,roofing,kalhtsothtohti,,
327,838,tent,kalhtsothv'i,tekalhtsothv'i,
328,846,collar,kayha'tlv'i,tekayha'tlv'i,
329,847,saddle,kayhahulo,tikayhahulo,
330,849,something to eat (refers to something flexible),kayhehsti,tikayhehsti,
331,858,plant (refers to plotted plant‚ young tree‚ young garden plant),kakhohti,tikakhohti,
332,861,container,kalatihstohti,tikalatihstohti,
333,862,street,kalanvtv'i,tekalanvtv'i,
334,865,blacksnake,ka'leki,,
335,866,his/her ear,ka'leni,tika'leni,
336,876,hoe,kalokoti,tikalokoti,
337,877,gun,kalokwe,tikalokwe,
338,879,doorway,kalohihsti'i,tikalohihsti'i,
339,881,August,Ga'lonhi,,
340,890,axe,kaluyhsti,tikaluyhsti,
341,891,bed bug,kaluyhsti,anikaluyhsti,
342,893,container for something flexible,kalvtohti,tikalvtohti,
343,895,heaven,kalvlati,,
344,899,sky,kalvlo'i,,
345,902,livestock,kanalha'i,,
346,911,skin,kaneka,,
347,922,his/her chest,kanetsi'i,,
348,924,married person,kaneli,tinineli,
349,927,saw,kanhtohki,tikanhtohki,
350,928,his/her tooth,kanhtohkv'i,tekanhtohkv'i,
351,930,his/her tongue,kanhko'i,,
352,935,salesman,kanhthanitohi,aninhthanitohi,
353,936,bullet,ka'ni,,
354,937,his/her tail,kanita'tv'i,,
355,941,bedstead,kanilhatihsti,tikanilhatihsti,
356,942,bed,kanilhi,tikanilhi,
357,947,catcher,ka'niyihski,aniniyihski,
358,949,hunter,kanohalitohi,aninohalitohi,
359,953,leather,kanotsi,,
360,957,thief,kanohskihski,aninohskihski,
361,960,stick,kanhsta,,
362,963,water spring,kanukokv'i,tekanukokv'i,
363,964,exit,kanuko'ihstohti'i,,
364,965,grass,kanulv,,
365,966,lawn mower,kanulv akalhsti,,
366,969,his/her breast,kanvti'i,tikanvti'i,
367,973,hammer,kanvkwalohsti,tikanvkwalohsti,
368,974,blacksmith shop,kanvkwalohski'i,,
369,977,brake,kanvlhohsti,tikanvlhohsti,
370,978,route,kanvnhv'i,tekanvnhv'i,
371,981,pipe,kanvnowa,,
372,982,leg,kanvhske,tikanvhske,
373,983,his/her leg,kanvhskeni,tikanvhskeni,
374,984,his/her shoulder,kanvwo'i,tikanvwo'i,
375,988,coat,kahsaleni,tikahsaleni,
376,989,roof,kahsanali,,
377,991,chair,kahskilo,tikahskilo,
378,992,dining table,kahskilo alhstayhti'i,,
379,993,rocking chair,kahskilo tilhihkehski,,
380,997,his/her back,kahsohi'i,,
381,1001,button,kathti,tikathti,
382,1002,cooking pan,kathehsa'ti,tikathehsa'ti,
383,1004,stompgrounds,kathiyo'i,,
384,1005,tail,kathohka,tikathohka,
385,1012,gossip,kawonita,,
386,1014,cantaloupe,kawhsvki,aniwhsvki,
387,1015,his/her finger,kayehsa'tv'i,tekayehsa'tv'i,
388,1017,sewing machine,kayewhski'i,,
389,1018,liar,kayhkoki,aniyhkoki,
390,1019,lie,kayhkoki,,
391,1026,clinic,ketsikoliyeti'i,,
392,1028,pie,kelihsthki,tikelihsthki,
393,1029,crowbar,kethilohsti,tikethilohsti,
394,1030,post,kethvhsti,tikethvhsti,
395,1032,blood,kika,,
396,1035,loose hair,ki'lha,,
397,1036,dog,kilhi,,
398,1037,hounddog,kilhi tika'lenvhita,kilhi tinilenvhita,
399,1038,English,Gilihsi,,
400,1039,quarter,kinuthti,,
401,1041,spring (refers to the season),kokeyi,,
402,1042,summer,koki,,
403,1043,a long time,kohita,,
404,1046,belief,kohiyhti,,
405,1049,his/her acquaintance,kolhki,tikolhki,
406,1050,butter,kolhvnhv'i,,
407,1056,paper,kowheli,tikowheli,
408,1059,Greasy,ko'i,,
409,1059,Greasy,ko'i,,
410,1062,trigger,kotsanehsti'i,tikotsanehsti'i,
411,1063,cigarette,kokhsti,tikokhsti,
412,1065,winter,kola,,
413,1066,pneumonia,kolehi,,
414,1070,bat,kohstvnihsti,tikohstvnihsti,
415,1073,fire (refers to for heating),kothv'i,,
416,1077,bottle,kuku,,
417,1078,tick,kuku,,
418,1079,Bartlesville,Guku'i,,
419,1080,handle (refers to for a tool),kuhalhti,tikuhalhti,
420,1082,quail,kuhkwe,,
421,1085,lid,kulhvti,tikulhvti,
422,1088,acorn,kule,,
