corpus_id,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
427,he/she is amazed,hskwa2ni2ko23-hsk,hskwa2ni2ko23-hsk,hskwa2ni2ko23-hsk,hskwa2ni2ko23-hs,hskwa2ni2ko23-hi2,hskwa2ni2ko23-hi3hst
429,he/she is hitting him/her on the abdomen with it (refers to a long object),hskwo22ha2l-v33n-i2h,hskwo22ha2l-v33n-i2h,hskwo22ha2l-v33n-i2h,hskwo22ha2l-v23n-i32l,hskwo22ha2l-v22n-i21ka2,hskwo22ha2l-v23n-i32hst
436,he/she is roping him/her,hslh-a2t-i3',hslh-a2t-i3',hslh-a2t-i32hsk,hslh-a3t-,hslh-a2t-a2,hslh-a2t-i21hst
441,he/she is wounding him/her,hso22n-v22hsk,hso22n-v22hsk,hso22n-v22hsk,hso22n-v22nh,hso22n-v23na2,hso22n-v22hst
445,he/she is painting it,hsu23wh-i3hsk,hsu23wh-i3hsk,hsu23wh-i3hsk,hsu23wh-i3hs,hsu23wh-a2,hsu23wh-i3hst
449,he/she is quitting,hsu22li2-ko33k,hsu22li2-ko33k,hsu22li2-ko33k,hsu22li2-ko33ts,hsu22li2-ko2'i2,hsu22li2-ko2hst
455,it smells,hsv32-k,hsv32-k,hsv32-k,,,
459,he/she is drinking it up,hsv2-hv3hsk,hsv2-hv3hsk,hsv2-hv3hsk,hsv2-nh,hsv2-nha2,hsv3-hv3hst
464,he/she is mooring a boat,tha2l-a2t-i3',tha2l-a2t-i3',tha2l-a2t-i32hsk,tha2l-a3t-,tha2l-a2t-a2,tha2l-a2t-i21hst
472,he/she is kissing him/her,tha2we23to3-'v2hsk,ta2we23to3-'v2hsk,tha2we23to3-'v2hsk,tha2we23to32-n,ta2we22to2-'v21ka2,tha2we23to32-t
474,he/she is asking for it,tha2yo22-hi3h,tha2yo22-hi3h,tha2yo22-hi2h,tha2yo22-lh,tha2yo23-ha2,tha2yo22-hst
477,he/she is shaking him/her,the33l-v22hv3hsk,the33l-v22hv3hsk,the33l-v22hv2hsk,the33l-v22nh,the21l-v23na2,the21l-ht
493,he/she is promising,thu3'i2hst-i3h,thu3'i2hst-i3h,thu3'i2hst-i23hsk,thu3'i2hst-ha3n,thu2'i2hst-a2,thu2'i2hst-o3ht
502,he/she is inside,y-a3',y-a3',y-a3',,,
507,he/she is waking up,ye33-k,ye33-k,ye33-k,ye33-ts,ye21-ki2,ye2-'i2hst
509,he/she is waking him/her up,ye33'i2hst-i3h,ye33'i2hst-i3h,ye33'i2hst-i23hsk,ye33'i2hst-ha3n,ye2'i2hst-a2,ye2'i2hst-o3ht
511,he/she is putting him/her inside (refers to somewhere large enough to move around in),yht-i3h,yv21t-i3h,yht-i23hsk,yht-ha2n,yv21t-a2,yht-o3ht
513,he/she is getting it (refers to a long object),y-i3h,y-i33',y-i23hsk,y-v22h,y-a2,y-ht
515,it’s breaking,yo33-k,yo33-k,yo33-k,yo33-ts,yo21-ki2,yo21-yhst
516,he/she is shooting him/her,yo22-hi3h,yo2-'i3h,yo22-hi2h,yo22-lh,yo2-'a2,yo22-hst
519,he/she is whittling it,yo22l-hv3hsk,yo21l-v3hsk,yo22l-hv3hsk,yo22l-ha3n,yo22l-hv21ka2,yo22l-hv3hst
523,he/she is greeting him/her,yo33l-i2h,yo33l-i2h,yo33l-i2h,yo23l-i32l,yo22l-i2ka2,yo23l-i32hst
524,he/she is breaking it,yo33hst-i2h,yo33hst-i2h,yo33hst-i22hsk,yo33hst-ha2n,yo21hst-a2,yo21hst-o3ht
526,he/she is destroying it,yo33hstha2n-o3hv3hsk,yo33hstha2n-o3hv3hsk,yo33hstha2n-o3hv3hsk,yo33hstha2n-o3nh,yo21hstha2n-o2nha2,yo21hstha2n-o3hv3hst
529,he/she is entering it,yv22-hi3h,yv2-'i3h,yv22-hi2h,yv22-lh,yv23-ha2,yv22-hst
530,he/she is finding it (refers to a long object),yv22wha2hth-i3h,yv21wa2hth-i3h,yv22wha2hth-i23hsk,yv22wha2hth-v22h,yv22wha2hth-a2,yv22wha2hth-v2ht
531,he/she is taking it somewhere (refers to a long object),yv22whi22t-i3h,yv21wi22t-i3h,yv22whi22t-i23hsk,yv22whi22t-v22h,yv22whi23t-a2,yv22whi22t-ht
742,he/she is walking around,e21t-o33h,e23t-o32h,e21t-o33h,e23t-o32l,e23t-a2,e22t-a21hst
746,he/she lives,-e23h,-e33',-e21h,,-e22he33hsti2,
752,he/she thinks so,e21l-i3',e22l-i3',e21l-i32hsk,e22l-i32hs,e23l-a2,e22l-i21hst
757,he/she is straightening it,tshi2no22-hs-i3h,tshi2no22-hs-i3h,tshi2no22-hs-i23hsk,tshi2no22-hs-a2nh,tshi2no23-hs-a2,tshi2no22-hs-o2ht
764,he/she is plowing it,ta2lu23k-i3',ta2lu23k-i3',ta2lu23k-i32hsk,ta2lu23k-a32n,ta2lu22k-v21ka2,ta2lu23k-o32t
767,he/she is turning it,te23yhst-i2h,te23ya32hst-i2h,te23yhst-i22hsk,te23yhst-ha2n,te2yhst-a2,te23yhst-o2ht
769,he/she is spinning it,ti33kwa2lv22te23yhst-i2h,ti33kwa2lv22te23yhst-i2h,ti33kwa2lv22te23yhst-i22hsk,ti33kwa2lv22te23yhst-ha2n,ti21kwa2lv22te23yhst-a2,ti21kwa2lv22te23yhst-o2ht
770,he/she is strapping it,tlo22-hi3h,tlo22-hi3h,tlo22-hi2h,tlo22-lh,tlo23-ka2,tlo23-hst
772,he/she is standing,to32-k,to32-k,to32-k,,to32-ke33hsti2,
775,he/she is pitying him/her,to23li32-k,to23li32-k,to23li32-k,to23li32-ts,to22li21-ki2,to22li3-hst
784,he/she is baking it,tu22-hv33hsk,tu22-hv3hsk,tu22-hv2hsk,tu22-nh,tu22-hv21ka2,t-ht
791,he/she is rowing,ka2we23-hsk,ka2we33-hsk,ka2we23-hsk,ka2we23-hs,ka2we23-hi2,ka2we23-hst
