corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
135,140,he/she is burning him/her,FullEventful,cause,,akohvhst,tsiyakohvhst,akohvhst,ukohvhst,hiyakohvhst,ukohvhst
135,140,he/she is burning him/her,FullEventful,cause[perf3],,akohvhst,tsiyakohvhst,akohvhst,ukohvhsth,hiyakohvhst,ukohvhst
135,140,he/she is burning him/her,FullEventful,cause[pres2],,akohvhstih,tsiyakohvhstih,akohvhst,ukohvhst,hiyakohvhst,ukohvhst
135,140,he/she is burning him/her,FullEventful,cause[pres2-perf3],,akohvhstih,tsiyakohvhstih,akohvhst,ukohvhsth,hiyakohvhst,ukohvhst
136,141,it’s burning,FullEventful,sk-h,,akohv,kakohv,akohv,ukon,hakon,ukohv
136,141,it’s burning,FullEventful,sk-h[imp2],,akohv,kakohv,akohv,ukon,hakonha,ukohv
136,141,it’s burning,FullEventful,terminative,,ak,kak,ak,uk,hak,uk
136,141,it’s burning,FullEventful,terminative-no-o,,ako,kako,ako,uko,hako,uko
138,143,he/she is reading,FullEventful,e-a,,akoliy,tsikoliy,akoliy,ukoliy,hikoliy,ukoliy
140,145,he/she is target practicing,FullEventful,ih-vh,,akon,kakon,akon,ukon,hakon,ukon
145,150,he/she is showing it to him/her,FullEventful,cause,,akowhthvht,tsikowhthvht,akowhthvht,ukowhthvht,hikowhthvht,ukowhthvht
145,150,he/she is showing it to him/her,FullEventful,cause[perf3],,akowhthvht,tsikowhthvht,akowhthvht,ukowhthvhth,hikowhthvht,ukowhthvht
145,150,he/she is showing it to him/her,FullEventful,cause[pres2],,akowhthvhtih,tsikowhthvhtih,akowhthvht,ukowhthvht,hikowhthvht,ukowhthvht
145,150,he/she is showing it to him/her,FullEventful,cause[pres2-perf3],,akowhthvhtih,tsikowhthvhtih,akowhthvht,ukowhthvhth,hikowhthvht,ukowhthvht
148,153,he/she is cutting it,FullEventful,ih-vh,,akvhal,tsikv'al,akvhal,ukvhal,hikvhal,ukvhal
149,154,he/she is chopping it up,FullEventful,sk-h,,akvhaluy,tsikv'aluy,akvhaluy,ukvhaluy,hikvhaluy,ukvhaluy
149,154,he/she is chopping it up,FullEventful,sk-h[imp2],,akvhaluy,tsikv'aluy,akvhaluy,ukvhaluy,hikvhaluyha,ukvhaluy
152,157,he/she is scolding him/her,FullEventful,vsk,,akvhskol,tsikvhskol,akvhskol,ukvhskol,hikvhskolv',ukvhskol
152,157,he/she is scolding him/her,FullEventful,vsk[imp2],,akvhskol,tsikvhskol,akvhskol,ukvhskol,hikvhskol,ukvhskol
153,158,he/she is washing his face,FullEventful,o,,akvhskw,kakvhskw,akvhskw,ukvhskw,hakvhskw,ukvhskw
155,161,he/she is diverting him/her,FullEventful,rev-gi,,ahalu,tsi'alu,ahalu,uhalu,hi'alu,uhalu
155,161,he/she is diverting him/her,FullEventful,rev-i,,ahaluk,tsi'aluk,ahaluk,uhaluk,hi'aluk,uhaluk
158,164,he/she is smothering him/her,FullEventful,cause,,ahawohst,tsi'awohst,ahawohst,uhawohst,hi'awohst,uhawohst
158,164,he/she is smothering him/her,FullEventful,cause[perf3],,ahawohst,tsi'awohst,ahawohst,uhawohsth,hi'awohst,uhawohst
