definition,3rd present,1st present,3rd completive past,3rd incompletive habitual,2nd imperative,3rd infinitive,
he's undressing,da1hna.2we3?a,de2ga.3ni1we3?a,du1hna.2we3sv23?i,da1hna.2we3sgo3?i,ta2hna.3wa.2gi,ju2hna.2we1sdi,
"he's choosing him, it",a1su2ye3?a,ji2ya1su2ye3?a,u1su2ye3sv23?i,a1su2ye3sgo3?i,hi2ya1su2ya.2gi,u2su2ye1sdi,
he's eating a flexible object,ga2hye3?a,ji2ya1ye3?a,u1wa2hya3?v23?i,ga2hye3sgo3?i,hi2ya1ya.2ga,u.2wa2hye1sdi,
1. he's picking it up  2. he's getting it,a1gi3?a,ji.2gi3?a,u1gi3sv23?i,a1gi3sgo3?i,hi.2gi,u2gi1sdi,
he's waving his hand,a1so2lv2da.2gi3?a,ga1so2lv2da.2gi3?a,u1so2lv2da.2gi3sv23?i,a1so2lv2da.2gi3sgo3?i,ha.2so2lv2da.2gi,u2so2lv2da.2gi1sdi,
he's having a nightmare,a1hli.2gi3?a,ga.2dli.2gi3?a,u1hli.2gi3sv23?i,a1hli.2gi3sgo3?i,ha.2hli.2gi,u2hli.2gi1sdi,
he's snoring,da1kwa.2la2gi3?a,de2ji32kwa.2la2gi3?a,du1kwa.2la2gi3sv23?i,da1kwa.2la2gi3sgo3?i,ti.2kwa.3la2gi,ju2kwa.2la2gi1sdi,
he's thirsty,u1ta.2de2gi3?a,ak1ta.2de2gi3?a,u1ta.2de2ga32nv23?i,u1ta.2de2gi3sgo3?i,tsta.2de2gv1ga,u2ta.2de23go32di,
1. he's getting some liquid  2. he's picking up some liquid,ga.2ne2gi3?a,ji.2ne2gi3?a,u1ne2gi3sv23?i,ga.2ne2gi3sgo3?i,hi.2ne23gi,u2ne2gi1sdi,
he's taking his hat off,al1sgwe3tuh2gi3?a,ga.2li1sgwe3tuh2gi3?a,ul1sgwe3tuh2gi3sv23?i,al1sgwe3tuh2gi3sgo3?i,hal2sgwe1tuh2gi,ul2sgwe1tuh2gi1sdi,
he's hoeing it,ga.2lo2gi3?a,ji.2lo2gi3?a,u1lo2ga32nv23?i,ga.2lo2gi3sgo3?i,hi.2lo2gv1ga,u2lo23go32di,
he's singing,de2ka.3no2gi3?a,de2ji32no2gi3?a,du1hno2gi3sv23?i,de2ka.3no2gi3sgo3?i,ti.2hno3gi,ju2hno2gi1sdi,
"he hears him, it",a1tv2gi3?a,ji2ya1tv2gi3?a,u1tv2ga32nv23?i,a1tv2gi3sgo3?i,hi2ya1tv2gv1ga,u2tv23go32di,
he's dancing,al1sgi3?a,ga.2li1sgi3?a,ul1sgi3sv23?i,al1sgi3sgo3?i,hal2sgi,ul2sgi1sdi,
it's exploding,a1ta.2sgi3?a,-----,u1ta.2sgi3sv23?i,a1ta.2sgi3sgo3?i,ha.2ta.2sgi,u2ta.2sgi1sdi,
he's stealing it,ga.2no2sgi3?a,ji.2no1sgi3?a,u1no2sgi3sv23?i,ga.2no2sgi3sgo3?i,hi.2no23sgi,u2no2sgi1sdi,
he's taking his ring off,a1li.2ye32su2stgi3?a,ga.2li.2ye32su2stigi3?a,u1li.2ye32su2stgi3sv23?i,a1li.2ye32su2stgi3sgo3?i,ha.2li.2ye1su2stgi,u2li.2ye1su23stgi32sdi,
"he's shelling, picking out (peas, nut meats, etc.)",de2gv3to.2hi3?a,de2gv32to.2hi3?a,du1wv2to.2hi3sv23?i,de2gv3to.2hi3sgo3?i,tv2to.3hi,ju.2wv2to.2hi1sdi,
"1. he's imitating him, it 2. he's mocking him",a1hye2li3?a,ji1ye.2li3?a,u2hyeli23sv23?i,a1hye2li3sgo3?i,hi1ye23la,u2hye2li1sdi,
he's writing it,go2hwe23li3?a,go1we23li.3?a,u1wo2hwe23la32nv23?i,go2hwe23li32sgo3?i,ho2hwe2lv1ga,u.2wo2hwe23lo32di,
"he's running away, he's escaping",a1li.2ti3?a,ga.2li1ti3?a,u1li.2ti3sv23?i,a1li.2ti3sgo3?i,ha.2li.2ti,u2li.2ti1sdi,
he's crushing it,a1sdo3?a,ji1sdo3?a,u1sdo3?v23?i,a1sdo3sgo3?i,hi.2sdo23ja,u2sdo1sdi,
he's hammering it,ga.2nv2gwa.2lo3?a,ji.2nv2gwa.2lo3?a,u1nv2gwa.2lo3?v23?i,ga.2nv2gwa.2lo3sgo3?i,hi.2nv2gwa.2lo23ja,u2nv2gwa.2lo1sdi,
stubbing his toe,u1hna32sgwa.2lo3?a,a1ki.2na32sgwa.2lo3?a,u1hna32sgwa.2lo3?v23?i,u1hna32sgwa.2lo3sgo3?i,cha.2na1sgwa.2lo23ja,u2hna1sgwa.2lo1sdi,
he's cracking it,gv2sgwa.2lo3?a,gv1sgwa.2lo3?a,u1wa2sgwa.2lo3?v23?i,gv2sgwa.2lo3sgo3?i,hv2sgwa.2lo23ja,u.2wa2sgwa.2lo1sdi,
he's washing flexible objects (including clothes),de3kgi2lo3?a,de2gv32gi2lo3?a,duh1gi2lo3?v23?i,de3kgi2lo3sgo3?i,tvh2gi3lo2ja,juh2gi2lo1sdi,
he's washing it,gu2hi2lo3?a,gu.2?i2lo3?a,u1wu2hi2lo3?v23?i,gu2hi2lo3sgo3?i,hu2hi2lo23ja,u.2wu2hi2lo1sdi,
he's measuring it,a1hli2lo3?a,ga.2dli2lo3?a,u1hli2lo3?v23?i,a1hli2lo3sgo3?i,ha.2hli2lo23ja,u2hli2lo1sdi,
1. he's bathing  2. he's swimming,a1da.2wo3?a,ga.2da.2wo3?a,u1da.2wo3?v23?i,a1da.2wo3sgo3?i,ha.2da.2wo23ja,u2da.2wo1sdi,
1. he's bathing him 2. he's baptizing him,ga.2wo3?a,ji2ya.2wo3?a,u1wo3?v23?i,ga.2wo3sgo3?i,hi2ya.2wo23ja,u2wo1sdi,
he's putting on a shirt,a1hna.2wo3?a,ga.2ni1wo3?a,u1hna.2wo3?v23?i,a1hna.2wo3sgo3?i,ha.2hna.2wo23ja,u2hna.2wo1sdi,
he's putting on clothes,da1hna.2wo3?a,de2ga.3ni1wo3?a,du1hna.2wo3?v23?i,da1hna.2wo3sgo3?i,ta.2hna.3wo2ja,ju2hna.2wo1sdi,
he's combing someone's hair,a1ta.2wo3?a,ji1ta.2wo3?a,u1ta.2wo3?v23?i,a1ta.2wo3sgo3?i,hi1ta.2wo23ja,u2ta.2wo1sdi,
he's combing his hair,ahl1ta.2wo3?a,ga.2li1ta.2wo3?a,uhl1ta.2wo3?v23?i,ahl1ta.2wo3sgo3?i,hahl2ta.2wo23ja,uhl2ta.2wo1sdi,
he's performing a baptism,da1da2wo3?a,de2ga.3da2wo3?a,du1da2wo3?v23?i,da1da2wo3sgo3?i,ta.2da3wo2ja,ju2da2wo1sdi,
"he's accumulating it, he's increasing it",ka.2neh2gwo3?a,ji1neh2gwo3?a,u1hneh2gwo3?v23?i,ka.2neh2gwo3sgo3?i,hi.2hneh2gwo1ja,u2hneh2gwo1sdi,
he's washing his face,a1gv2sgwo3?a,ga.2gv1sgwo3?a,u1gv2sgwo3?v23?i,a1gv2sgwo3sgo3?i,ha.2gv2sgwo23ja,u2gv2sgwo1sdi,
he's sopping it,a1su3?a,ga1su3?a,u1su3sv23?i,a1su3sgo3?i,ha.2su23ja,u2su1sdi,
he's moving it from one place to another,a1hv3?a,ji.2?v3?a,u1hv3sv23?i,a1hv3sgo3?i,hi.2hv23na,u2hv1sdi,
1. he's turning back 2. he's turning (his head or body),a1kta.2hv3?a,ga.2ga1ta.2hv3?a,u1kta.2hv3sv23?i,a1kta.2hv3sgo3?i,ha.2kta.2hv23na,u2kta.2hv1sdi,
he's changing shoes,da1la32su2la.3?i2yv3?a,de2ga.3la32su2la.3?i2yv3?a,du1la32su2la.3?i2yv3sv23?i,da1la32su2la.3?i2yv3sgo3?i,ta.2la32su2la.3?i2yv23na,ju2la1su23la.3?i2yv1sdi,
he's changing his pants,a3su2la.3?i2yv3?a,ga3su2la.3?i2yv3?a,u3su2la.3?i2yv3sv23?i,a3su2la.3?i2yv3sgo3?i,ha1su2la.2?i2yv23na,u1su23la.3?i2yv1sdi,
he's changing his shirt,a1hna.2wa.3?i2yv3?a,ga.2ni1wa.3?i2yv3?a,u1hna.2wa3?i2yv3sv23?i,a1hna.2wa.3?i2yv3sgo3?i,ha.2hna.2wa.2?i2yv23na,u2hna.2wa.2?i23yv32sdi,
he's changing clothes,da1hna.2wa.3?i2yv3?a,de2ga.2ni1wa.3?i2yv3?a,du1hna.2wa.3?i2yv3sv23?i,da1hna.2wa.3i2yv3sgo3?i,ta.2hna.3wa.2?i2yv23na,ju2hna.2wa.2?i23yv32sdi,
there's an opening,u1dla.2nv2da,-----,u1dla.2nv2dv23?i,u1dla.2nv2do23?i,-----,-----,
he's climbing it,ga.?3le1ga,ji.?3le1ga,u1lv32sv23?i,ga.?3le1go3?i,hi.?2lu1ga,u2lv1sdi,
"he, it's going out of sight",wu23de3li1ga,wa.2gwa.3de2li1ga,wu1de23li32jv23?i,wu2de3li2go?3i,wi.2ja.3de3li1gi,wu1de2li.3sdi,
they're having church services,da1ni2la32wi1ga,do1ji2la32wi1ga,du1ni2la32wi1jv23?i,da1ni2la32wi1go3?i,di1ji23la32wi1gi,ju2ni2la1wi.2sdi,
he's reprimanding him,a1sga32ga,ji1sga32ga,u1sga32jv23?i,a1sga32go3?i,hi1sga1gi,u2sga1sdi,
he's becoming blind,da1ke23wa32ga,de2ji.?3ge23wa32ga,du1ke23wa32jv23?i,da1ke23wa32go3?i,ti.2ke3wa1gi,ju2ke23wa3?i.2sdi,
"he's chasing him, it",a1ke23he32ga,ji1ke23he32ga,u1ke23hv32sv23?i,a1ke23he32go3?i,hi1ke2hu1ga,u1ke23hv32sdi,
"he's attacking him, it",da1kti23le32ga,de2ji3ga1ti23le32ga,du1kti23lv32sv23?i,da1kti23le32go3?i,ti2ga32ti23lu32ga,ju2kti23lv32sdi,
he's not having any luck hunting,u1kwo23le32ga,a1gi.2kwo23le32ga,u1kwo23lv32sv23?i,u1kwo23le32go3i,ja.2kwo2lu1ga,u2kwo23lv32sdi,
"he's belching, burping",u1wa2ku23le32ga,a1gi2ku23le32ga,u1wa2ku23le32jv23?i,u1wa2ku23le32go3?i,ja2ku2le1gi,u.2wa2ku23le.3?i.2sdi,
he's leading him by the hand,go2hi23ne32ga,ji2yo.2?i23ne32ga,u1wo2hi23nv32sv23?i,go2hi23ne32go3?i,hi2yo.2?i2nu1ga,u.2wo2hi23nv32sdi,
