class,present,imperfective,perfective,immediate,infinitive,count
rev-gi,a2,o33'i2,v23'i2,ki2,i2,16
rev-i,a2,o33'i2,v23'i2,i2,i2,3
sg-h,a2,o33'i2,v23'i2,ha2,i2,5
sg-h-hy,a2,o33'i2,v23'i2,yha2,i2,3
sg-h[imp2],a2,o33'i2,v23'i2,,i2,4
sg-s-a,a2,o33'i2,v23'i2,a2,i2,2
sg-s-a[inf2],a2,o33'i2,v23'i2,a2,i2,4
sg-s-hi-hihst,a2,o2'i?,v33'i2,hi2,,1
sg-s-hi-hihst,a2,o3'i2,v33'i2,hi2,i2,4
sg-s-hi-hihst,a2,o33'i2,v23'i2,hi2,i2,26
sg-s-hi-hihst,a2,o33'i2,v33'i2,hi2,i2,1
sg-s-hst,a2,o3'i2,v33'i2,,i2,1
sg-s-hst,a2,o33'i2,v23'i2,,i2,1
sg-s-hst[imp2],a2,o3'i2,v33'i2,hi2,i2,1
sg-s-hst[imp2],a2,o33'i2,v23'i2,hi2,i2,1
sg-s-la,a2,o3'i2,v33'i2,la2,i2,4
sg-s-la,a2,o33'i2,v33'i2,la2,i2,1
stative,a2,o3'i2,v33'i2,e32hsti2,,2
stative,a2,o33'i2,v23'i2,e33hsti2,,14
stative,i2,o3'i2,v23'i2,e32hsti2,,1
stative,i2,o33'i2,v23'i2,e33hsti2,,4
stative,i2,o33'i2,v33'i2,,,1
stative-a',a2,o33'i2,v23'i2,e33hsti2,,4
stative-eh,a2,o33'i2,,e33hsti2,,2
stative-eh,a2,o33'i2,v23'i2,,,1
stative-h,a2,o3'i2,v33'i2,e32hsti2,,2
stative-h,a2,o33'i2,v23'i2,e33hsti2,,12
stative-k,a2,o3'i2,v33'i2,e32hsti2,,1
stative-k,a2,o33'i2,v23'i2,e33hsti2,,7
stative-s,a2,o33'i2,v23'i2,e33hsti2,,6
v-vhs,a2,o33'i2,v23'i2,v23na2,i2,10
vhvsg,a2,o33'i2,v23'i2,v22hv21ka2,i2,4
vhvsg[imp2],a2,o33'i2,v23'i2,v23na2,i2,1
vhvsg[inf2],a2,o33'i2,v23'i2,v22hv21ka2,i2,1
vnh-ih-a,a2,o3'i2,v23'i2,a2,i2,2
vnh-vsk,a2,o33'i2,v23'i2,v23na2,i2,3
vnh-vsk[inf2],a2,o33'i2,v23'i2,v23na2,i2,2
vnh-vsk[inf3],a2,o33'i2,v23'i2,v23na2,i2,2
vnh-vsk[inf4],a2,o33'i2,v23'i2,v23na2,i2,1
vsk,a2,o33'i2,v23'i2,v21ka2,i2,2
vsk-long,a2,o33'i2,v23'i2,,i2,1
vsk-long[imp2],a2,o33'i2,v23'i2,v3'v21ka2,i2,1
vsk-post-v,a2,o33'i2,v23'i2,'v21ka2,i2,2
vsk[imp2],a2,o33'i2,v23'i2,v2'v21ka2,i2,9
vsk[imp2],a2,o33'i2,v23'i2,v22'v21ka2,i2,1
