corpus_id,prediction,definition,furthest_corpus
1471,FullEventful,he/she is throwing it,3.validated
1476,FullEventful,he/she is having a birthday,3.validated
1478,FullEventful,it’s hot,3.validated
1478,FullStative,it’s hot,3.validated
148,FullEventful,he/she is cutting it,3.validated
1480,FullEventful,he/she is in hiding,3.validated
1480,FullStative,he/she is in hiding,3.validated
1481,FullEventful,he/she is getting well,3.validated
1483,FullEventful,there’s an opening,3.validated
1485,FullEventful,he/she is disbelieving,3.validated
1487,FullEventful,he/she is taking revenge,3.validated
1489,FullEventful,he/she is wearing an earring,3.validated
1489,FullStative,he/she is wearing an earring,3.validated
149,FullEventful,he/she is chopping it up,3.validated
1505,FullEventful,he/she is standing in liquid,3.validated
1505,FullStative,he/she is standing in liquid,3.validated
1507,FullEventful,he/she wants it,3.validated
1508,FullEventful,he/she is willing,3.validated
1508,FullStative,he/she is willing,3.validated
1514,FullEventful,he/she is becoming warm,3.validated
1516,FullEventful,he/she is possessive of him/her,3.validated
1516,FullStative,he/she is possessive of him/her,3.validated
152,FullEventful,he/she is scolding him/her,3.validated
1523,FullEventful,he/she is late,3.validated
1524,FullEventful,it’s decaying,3.validated
153,FullEventful,he/she is washing his face,3.validated
1530,FullEventful,he/she has an object (refers to a solid object),3.validated
1530,FullStative,he/she has an object (refers to a solid object),3.validated
1531,FullEventful,he/she is yawning,3.validated
1534,FullEventful,he/she is having trouble breathing,3.validated
1535,FullEventful,there is dew,3.validated
1535,FullStative,there is dew,3.validated
1536,FullEventful,he/she is lonesome,3.validated
1537,FullEventful,it’s lonesome,3.validated
1544,FullEventful,he/she is becoming angry,3.validated
1545,FullEventful,he/she is angry,3.validated
1545,FullStative,he/she is angry,3.validated
1548,FullEventful,he/she is stubbing his/her toe,3.validated
155,FullEventful,he/she is diverting him/her,3.validated
1551,FullEventful,he/she has a chill,3.validated
1554,FullEventful,he/she is in bed,3.validated
1554,FullStative,he/she is in bed,3.validated
1557,FullEventful,he/she is wearing a shirt,3.validated
1557,FullStative,he/she is wearing a shirt,3.validated
1561,FullEventful,he/she is buying it,3.validated
1563,FullEventful,he/she is looking for it,3.validated
1569,FullEventful,it is cold (refers to weather),3.validated
1572,FullEventful,he/she is getting drunk,3.validated
1576,FullEventful,he/she is inside it,3.validated
1576,FullStative,he/she is inside it,3.validated
158,FullEventful,he/she is smothering him/her,3.validated
1592,FullEventful,it’s sticking out,3.validated
1592,FullStative,it’s sticking out,3.validated
1593,FullEventful,he/she is watching him/her,3.validated
1593,FullStative,he/she is watching him/her,3.validated
1597,FullEventful,it’s foggy,3.validated
1597,FullStative,it’s foggy,3.validated
1599,FullEventful,he/she is not having luck at hunting,3.validated
16,FullEventful,he/she is fanning himself/herself,3.validated
160,FullEventful,he/she is handling it,3.validated
1602,FullEventful,he/she is losing his/her way,3.validated
1604,FullEventful,he/she is making a mistake,3.validated
1612,FullEventful,he/she is whining,3.validated
1613,FullEventful,he/she is wearing a ring,3.validated
1613,FullStative,he/she is wearing a ring,3.validated
1614,FullEventful,it’s cloudy,3.validated
1616,FullEventful,it’s happening to him,3.validated
1618,FullEventful,he/she is wearing a cap,3.validated
1618,FullStative,he/she is wearing a cap,3.validated
1621,FullEventful,he/she is sticking his/her head out,3.validated
1621,FullStative,he/she is sticking his/her head out,3.validated
1622,FullEventful,he/she is wearing a hat,3.validated
1622,FullStative,he/she is wearing a hat,3.validated
1623,FullEventful,it’s dark,3.validated
1623,FullStative,it’s dark,3.validated
1629,FullEventful,he/she has an object (refers to a flexible object),3.validated
1629,FullStative,he/she has an object (refers to a flexible object),3.validated
1639,FullEventful,he/she is being mean,3.validated
1639,FullStative,he/she is being mean,3.validated
1642,FullEventful,he/she has a liquid,3.validated
1642,FullStative,he/she has a liquid,3.validated
1646,FullEventful,he/she knows it,3.validated
1646,FullStative,he/she knows it,3.validated
165,FullEventful,he/she is leaving it behind,3.validated
166,FullEventful,he/she is placing it on something,3.validated
167,FullEventful,he/she is taking off flying,3.validated
1677,FullEventful,he/she is wearing pants,3.validated
1677,FullStative,he/she is wearing pants,3.validated
1683,FullEventful,he/she is thirsty,3.validated
1684,FullEventful,he/she is becoming enraged,3.validated
169,FullEventful,he/she is making him/her fly,3.validated
1693,FullEventful,he/she is listening to him/her,3.validated
1693,FullStative,he/she is listening to him/her,3.validated
1698,FullEventful,he/she is forgetting it,3.validated
1699,FullEventful,he/she is belching,3.validated
1700,FullEventful,he/she is shivering,3.validated
1708,FullEventful,he/she smells it,3.validated
1709,FullEventful,he/she has an object (refers to a long object),3.validated
1709,FullStative,he/she has an object (refers to a long object),3.validated
171,FullEventful,he/she is having a nightmare,3.validated
1710,FullEventful,he/she is aching,3.validated
172,FullEventful,it’s taking time,3.validated
1729,FullEventful,he/she is confident,3.validated
1729,FullStative,he/she is confident,3.validated
173,FullEventful,he/she is measuring it,3.validated
1730,FullEventful,he/she is sitting,3.validated
1730,FullStative,he/she is sitting,3.validated
1741,FullEventful,he/she is losing it,3.validated
175,FullEventful,it’s bending,3.validated
1754,FullEventful,he/she is sending on object (refers to a long object),3.validated
176,FullEventful,he/she is snorting,3.validated
1761,FullEventful,he/she is sending it,3.validated
1765,FullEventful,he/she is heading in the direction of,3.validated
1765,FullStative,he/she is heading in the direction of,3.validated
177,FullEventful,he/she is preaching,3.validated
1774,FullEventful,he/she is sending it,3.validated
1775,FullEventful,he/she is sending it (refers to something liquid),3.validated
1776,FullEventful,he/she is sending it (refers to a flexible object),3.validated
1778,FullEventful,he/she is going out of sight,3.validated
179,FullEventful,it’s shattering,3.validated
18,FullEventful,he/she is visiting,3.validated
180,FullEventful,he/she is shattering it,3.validated
182,FullEventful,he/she is beating him/her at a game,3.validated
183,FullEventful,he/she is combing his/her hair,3.validated
