definition,class,root,success,ambiguous_forms,notes
it is shining,ih-ihi,akal,True,,
it is shining,ih-ihi,kal,True,imperative,Ambiguity implies lossy rule reversal
it is shining,ih-ihi,akal,True,imperative,Ambiguity implies lossy rule reversal
it is shining,ih-ihi,kal,True,,
it is shining,ih-ihi,akal,True,,
it is shining,ih-ihi,kal,True,,
it is shining,ih-ihi,akal,True,,
he/she is licking it,i-a-i,kanat,True,,
he/she is licking it,i-a-i,kanat,True,,
he/she is licking it,long,kan,True,,
he/she is licking it,long,kan,True,,
he/she is licking it,long-no-a,kana,True,,
he/she is licking it,long-no-a,kana,True,,
he/she is warming it,cause,kanawht,True,,
he/she is warming it,cause,kanawht,False,,
he/she is warming it,cause[perf3],kanawht,False,,
he/she is warming it,cause[perf3],kanawht,False,,
he/she is warming it,cause[pres2],kanawhtih,False,,
he/she is warming it,cause[pres2],kanawhtih,False,,
he/she is warming it,cause[pres2-perf3],kanawhtih,False,,
he/she is warming it,cause[pres2-perf3],kanawhtih,False,,
it’s getting warm,sk-s-hi-hihst,kanawo,True,,
it’s getting warm,sk-s-hi-hihst,akanawo,True,,
it’s getting warm,sk-s-hi-hihst,kanawo,True,imperative,Ambiguity implies lossy rule reversal
it’s getting warm,sk-s-hi-hihst,akanawo,True,imperative,Ambiguity implies lossy rule reversal
it’s getting warm,sk-s-hi-hihst,kanawo,True,,
it’s getting warm,sk-s-hi-hihst,akanawo,True,,
it’s getting warm,sk-s-hi-hihst,kanawo,True,,
it’s getting warm,sk-s-hi-hihst,akanawo,True,,
it’s getting warm,sk-s-hst,kanawo,False,,
it’s getting warm,sk-s-hst,akanawo,False,,
it’s getting warm,sk-s-hst,kanawo,False,imperative,Ambiguity implies lossy rule reversal
it’s getting warm,sk-s-hst,akanawo,False,imperative,Ambiguity implies lossy rule reversal
it’s getting warm,sk-s-hst,kanawo,False,,
it’s getting warm,sk-s-hst,akanawo,False,,
it’s getting warm,sk-s-hst,kanawo,False,,
it’s getting warm,sk-s-hst,akanawo,False,,
it’s raining,stative,akahsk,False,,
it’s raining,stative,akahsk,False,imperative,Ambiguity implies lossy rule reversal
it’s raining,stative,akahsk,False,,
